customer_segment,region,priority,customer_sentiment
non_profit,APAC,low,neutral
individual,LATAM,high,neutral
small_business,APAC,low,neutral
individual,LATAM,medium,very_positive
education,APAC,high,very_negative
education,LATAM,high,very_negative
small_business,EU,low,positive
education,LATAM,low,positive
enterprise,EU,medium,neutral
education,,low,very_positive
non_profit,APAC,high,very_positive
education,APAC,medium,positive
education,APAC,medium,negative
individual,,low,very_negative
individual,EU,high,positive
education,LATAM,medium,neutral
enterprise,LATAM,medium,very_negative
small_business,APAC,low,negative
individual,MEA,medium,very_negative
small_business,APAC,medium,positive
enterprise,,medium,negative
non_profit,APAC,low,positive
small_business,LATAM,high,negative
small_business,EU,medium,neutral
small_business,LATAM,medium,negative
small_business,EU,high,neutral
individual,,low,neutral
enterprise,,medium,negative
small_business,,low,very_positive
individual,LATAM,low,very_positive
non_profit,LATAM,low,very_negative
education,,urgent,negative
non_profit,EU,medium,positive
education,MEA,high,very_negative
non_profit,EU,low,positive
small_business,LATAM,low,negative
small_business,EU,medium,positive
small_business,LATAM,low,neutral
education,MEA,medium,neutral
education,,low,neutral
enterprise,,urgent,neutral
individual,EU,medium,negative
small_business,,high,very_positive
non_profit,EU,medium,neutral
non_profit,EU,low,neutral
education,APAC,low,very_negative
individual,APAC,medium,positive
small_business,APAC,medium,neutral
non_profit,APAC,urgent,very_negative
enterprise,EU,low,neutral
non_profit,LATAM,high,positive
individual,EU,medium,positive
small_business,EU,medium,neutral
small_business,,low,very_negative
individual,APAC,medium,very_positive
small_business,MEA,high,very_positive
individual,EU,low,negative
enterprise,EU,high,negative
enterprise,EU,high,neutral
non_profit,,low,very_negative
small_business,,medium,negative
non_profit,LATAM,low,neutral
small_business,LATAM,low,negative
non_profit,LATAM,low,neutral
education,MEA,low,very_positive
non_profit,,high,very_negative
education,LATAM,low,very_negative
individual,,medium,neutral
enterprise,LATAM,medium,neutral
non_profit,,low,neutral
individual,APAC,low,very_negative
non_profit,MEA,low,negative
individual,APAC,low,negative
non_profit,APAC,low,neutral
non_profit,,high,very_negative
individual,APAC,low,neutral
small_business,LATAM,medium,neutral
education,,medium,neutral
small_business,MEA,low,neutral
education,APAC,medium,neutral
non_profit,APAC,low,very_negative
education,,high,positive
individual,MEA,low,negative
education,APAC,high,very_negative
enterprise,EU,medium,very_positive
enterprise,MEA,medium,neutral
education,,medium,very_negative
non_profit,APAC,high,very_positive
non_profit,MEA,low,negative
enterprise,,medium,very_negative
enterprise,LATAM,low,negative
education,APAC,high,very_positive
education,APAC,urgent,positive
enterprise,,low,neutral
enterprise,LATAM,high,negative
education,APAC,medium,negative
individual,,low,positive
small_business,,low,negative
small_business,MEA,low,neutral
individual,LATAM,high,positive
enterprise,LATAM,low,negative
small_business,APAC,urgent,neutral
education,,high,positive
individual,MEA,high,neutral
non_profit,APAC,medium,negative
enterprise,APAC,medium,neutral
non_profit,,low,neutral
individual,APAC,medium,negative
education,MEA,high,negative
individual,EU,medium,neutral
non_profit,,urgent,negative
individual,EU,low,neutral
enterprise,,medium,neutral
individual,LATAM,low,neutral
education,EU,high,very_negative
individual,MEA,low,very_negative
non_profit,APAC,high,negative
non_profit,EU,medium,very_positive
enterprise,MEA,low,positive
small_business,MEA,high,neutral
enterprise,MEA,low,negative
education,MEA,high,neutral
individual,LATAM,high,very_negative
enterprise,MEA,medium,neutral
enterprise,MEA,medium,negative
individual,,medium,negative
non_profit,,medium,negative
small_business,,low,positive
enterprise,,low,positive
individual,EU,low,negative
education,,medium,neutral
enterprise,,medium,positive
education,EU,low,negative
individual,LATAM,medium,very_positive
small_business,LATAM,medium,neutral
individual,LATAM,medium,positive
small_business,LATAM,low,negative
non_profit,LATAM,medium,neutral
non_profit,,low,negative
enterprise,EU,low,positive
non_profit,,medium,neutral
enterprise,,medium,neutral
non_profit,,medium,positive
education,APAC,high,very_negative
non_profit,MEA,low,neutral
small_business,,medium,negative
education,MEA,high,negative
enterprise,MEA,low,neutral
individual,,medium,neutral
enterprise,LATAM,low,neutral
education,APAC,high,very_negative
non_profit,,low,neutral
small_business,APAC,medium,negative
enterprise,EU,medium,negative
enterprise,,low,positive
non_profit,LATAM,low,neutral
small_business,APAC,high,neutral
individual,MEA,medium,very_negative
small_business,EU,high,neutral
individual,,high,negative
small_business,,low,very_negative
education,EU,high,positive
non_profit,APAC,medium,very_negative
education,LATAM,low,positive
small_business,APAC,medium,positive
individual,,medium,negative
individual,LATAM,medium,neutral
enterprise,EU,low,neutral
non_profit,LATAM,medium,very_positive
individual,APAC,low,negative
enterprise,APAC,medium,very_negative
non_profit,EU,low,positive
education,EU,medium,neutral
education,LATAM,low,neutral
small_business,EU,low,very_positive
individual,,low,neutral
education,EU,medium,negative
education,MEA,low,negative
enterprise,LATAM,high,negative
non_profit,,medium,very_negative
education,LATAM,medium,positive
non_profit,MEA,low,neutral
enterprise,APAC,low,positive
individual,LATAM,low,neutral
education,,low,neutral
individual,MEA,medium,negative
non_profit,MEA,urgent,positive
enterprise,,high,negative
non_profit,LATAM,medium,negative
non_profit,,low,negative
small_business,LATAM,low,positive
small_business,,low,neutral
enterprise,MEA,high,positive
non_profit,APAC,low,very_negative
enterprise,APAC,low,very_negative
education,MEA,low,very_positive
small_business,,low,positive
small_business,MEA,high,negative
enterprise,,medium,very_negative
education,MEA,low,positive
small_business,MEA,high,negative
small_business,,medium,very_positive
education,EU,medium,positive
individual,,high,neutral
non_profit,LATAM,low,neutral
individual,LATAM,high,very_positive
individual,LATAM,medium,negative
enterprise,MEA,low,neutral
individual,EU,high,positive
individual,APAC,high,positive
non_profit,APAC,low,negative
non_profit,LATAM,medium,negative
enterprise,MEA,medium,very_positive
enterprise,,medium,positive
small_business,LATAM,medium,very_negative
small_business,EU,low,positive
education,MEA,low,neutral
enterprise,APAC,low,neutral
enterprise,,high,very_positive
education,,low,positive
small_business,MEA,medium,very_negative
education,LATAM,medium,neutral
education,APAC,medium,very_positive
individual,LATAM,low,negative
non_profit,APAC,low,negative
education,MEA,high,neutral
small_business,LATAM,low,negative
education,MEA,medium,neutral
non_profit,EU,high,neutral
individual,LATAM,low,very_positive
non_profit,APAC,medium,very_positive
non_profit,,medium,neutral
small_business,,high,neutral
education,APAC,medium,positive
education,,high,very_positive
small_business,LATAM,low,neutral
individual,APAC,low,negative
enterprise,APAC,high,very_negative
non_profit,MEA,medium,negative
small_business,EU,medium,negative
enterprise,MEA,medium,neutral
education,,low,neutral
non_profit,LATAM,medium,neutral
non_profit,APAC,low,negative
education,LATAM,medium,positive
individual,EU,low,neutral
individual,LATAM,high,very_negative
individual,LATAM,low,negative
education,EU,medium,very_negative
enterprise,,medium,neutral
enterprise,MEA,medium,very_negative
small_business,LATAM,high,neutral
enterprise,MEA,low,neutral
non_profit,,high,negative
enterprise,EU,low,negative
non_profit,,high,positive
individual,MEA,low,negative
non_profit,MEA,medium,neutral
small_business,LATAM,medium,neutral
enterprise,APAC,low,neutral
small_business,APAC,medium,neutral
individual,EU,medium,positive
enterprise,LATAM,low,negative
enterprise,LATAM,high,neutral
non_profit,LATAM,medium,very_negative
non_profit,,low,negative
small_business,MEA,medium,negative
non_profit,,high,neutral
education,LATAM,low,neutral
small_business,APAC,low,positive
small_business,EU,low,neutral
non_profit,MEA,low,neutral
non_profit,MEA,medium,very_positive
non_profit,LATAM,high,positive
small_business,LATAM,low,very_negative
education,EU,high,positive
small_business,EU,low,negative
enterprise,LATAM,low,neutral
education,,low,negative
non_profit,,medium,very_negative
enterprise,EU,medium,negative
small_business,LATAM,medium,neutral
education,,low,neutral
individual,,urgent,negative
individual,,medium,very_negative
small_business,MEA,low,positive
small_business,LATAM,low,negative
education,EU,high,positive
non_profit,LATAM,medium,neutral
small_business,EU,low,very_positive
small_business,APAC,low,neutral
small_business,EU,low,negative
small_business,LATAM,high,very_positive
non_profit,APAC,low,very_negative
education,,low,very_negative
non_profit,LATAM,low,very_negative
non_profit,,high,positive
individual,LATAM,low,very_negative
non_profit,MEA,low,positive
individual,,low,negative
education,APAC,low,negative
non_profit,LATAM,low,negative
education,MEA,high,neutral
education,EU,medium,neutral
education,APAC,medium,positive
enterprise,MEA,high,very_positive
non_profit,MEA,low,negative
enterprise,,low,negative
enterprise,LATAM,medium,very_positive
non_profit,APAC,medium,negative
